Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_day,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,retinoic_acid,Sample Name,source_name,SRA Study,stem_cells_type
SRR8822740,RNA-Seq,252,6075121752,PRJNA530144,SAMN11298865,2114405206,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D122,SRX5611180,GSM3693362,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693362,retinal organoid,SRP189988,iPSC
SRR8822742,RNA-Seq,252,5393312064,PRJNA530144,SAMN11298863,1881707425,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D152,SRX5611182,GSM3693364,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693364,retinal organoid,SRP189988,iPSC
SRR8822743,RNA-Seq,252,4772927628,PRJNA530144,SAMN11298862,1683458777,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D200,SRX5611183,GSM3693365,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693365,retinal organoid,SRP189988,iPSC
SRR8822744,RNA-Seq,252,4897990440,PRJNA530144,SAMN11298861,1732693059,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D201,SRX5611184,GSM3693366,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693366,retinal organoid,SRP189988,iPSC
SRR8822745,RNA-Seq,252,4939137252,PRJNA530144,SAMN11298860,1735515779,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D201,SRX5611185,GSM3693367,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693367,retinal organoid,SRP189988,iPSC
SRR8822747,RNA-Seq,252,5642188272,PRJNA530144,SAMN11298858,1970625867,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611187,GSM3693369,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693369,retinal organoid,SRP189988,ESC
SRR8822748,RNA-Seq,252,5599757772,PRJNA530144,SAMN11298857,1948727935,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611188,GSM3693370,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693370,retinal organoid,SRP189988,ESC
SRR8822749,RNA-Seq,252,6251436324,PRJNA530144,SAMN11298888,2166939378,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611189,GSM3693371,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693371,retinal organoid,SRP189988,ESC
SRR8822750,RNA-Seq,252,6192430776,PRJNA530144,SAMN11298887,2190492422,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611190,GSM3693372,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693372,retinal organoid,SRP189988,ESC
SRR8822751,RNA-Seq,252,5126525460,PRJNA530144,SAMN11298798,1781563804,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611191,GSM3693373,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693373,retinal organoid,SRP189988,ESC
SRR8822752,RNA-Seq,252,5441727060,PRJNA530144,SAMN11298797,1886872473,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611192,GSM3693374,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693374,retinal organoid,SRP189988,ESC
SRR8822753,RNA-Seq,252,5751883368,PRJNA530144,SAMN11298796,1998053191,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611193,GSM3693375,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693375,retinal organoid,SRP189988,ESC
SRR8822754,RNA-Seq,252,6385809528,PRJNA530144,SAMN11298856,2247837842,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611194,GSM3693376,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693376,retinal organoid,SRP189988,ESC
SRR8822755,RNA-Seq,252,6848523108,PRJNA530144,SAMN11298855,2402740936,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611195,GSM3693377,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693377,retinal organoid,SRP189988,ESC
SRR8822741,RNA-Seq,252,9176174028,PRJNA530144,SAMN11298864,3210313219,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D152,SRX5611181,GSM3693363,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693363,retinal organoid,SRP189988,iPSC
SRR8822716,RNA-Seq,252,5830510392,PRJNA530144,SAMN11298803,1988410583,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D172,SRX5611156,GSM3693338,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693338,retinal organoid,SRP189988,iPSC
SRR8822746,RNA-Seq,252,5811619968,PRJNA530144,SAMN11298859,2018134930,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611186,GSM3693368,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693368,retinal organoid,SRP189988,ESC
SRR8822681,RNA-Seq,252,5923824228,PRJNA530144,SAMN11298847,2367439938,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D37,SRX5611121,GSM3693303,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693303,retinal organoid,SRP189988,iPSC
SRR8822738,RNA-Seq,252,5271836472,PRJNA530144,SAMN11298867,1847068185,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D91,SRX5611178,GSM3693360,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693360,retinal organoid,SRP189988,iPSC
SRR8822724,RNA-Seq,252,4906613376,PRJNA530144,SAMN11298881,1770138604,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611164,GSM3693346,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693346,retinal organoid,SRP189988,iPSC
SRR8822692,RNA-Seq,252,4984233408,PRJNA530144,SAMN11298827,1741412367,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611132,GSM3693314,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693314,retinal organoid,SRP189988,iPSC
SRR8822713,RNA-Seq,252,5478712092,PRJNA530144,SAMN11298806,1880017371,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D123,SRX5611153,GSM3693335,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693335,retinal organoid,SRP189988,iPSC
SRR8822730,RNA-Seq,252,5839388856,PRJNA530144,SAMN11298875,2077531438,NEI377,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611170,GSM3693352,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693352,retinal organoid,SRP189988,iPSC
SRR8822676,RNA-Seq,252,5759782056,PRJNA530144,SAMN11298852,2247303784,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D150,SRX5611116,GSM3693298,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693298,retinal organoid,SRP189988,ESC
SRR8822717,RNA-Seq,252,5649109200,PRJNA530144,SAMN11298802,1963071351,ESP,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D172,SRX5611157,GSM3693339,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,ATRA,GSM3693339,retinal organoid,SRP189988,iPSC
