Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,data_set,AssemblyName
SRR2453345,RNA-Seq,202,4057176868,PRJNA296379,SAMN04096409,2468783302,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261765,GSM1888655,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888655,iPSC,SRP063867,nonisogenic,
SRR2453346,RNA-Seq,202,6769090498,PRJNA296379,SAMN04096410,4259540715,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261766,GSM1888656,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888656,ESC,SRP063867,nonisogenic,
SRR2453347,RNA-Seq,202,4880228292,PRJNA296379,SAMN04096411,3065296720,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261767,GSM1888657,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888657,iPSC,SRP063867,nonisogenic,
SRR2453348,RNA-Seq,202,4550302702,PRJNA296379,SAMN04096412,2863135509,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261768,GSM1888658,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888658,iPSC,SRP063867,nonisogenic,
SRR2453349,RNA-Seq,202,4696109130,PRJNA296379,SAMN04096413,2959180667,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261769,GSM1888659,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888659,iPSC,SRP063867,nonisogenic,
SRR2453350,RNA-Seq,202,5435764450,PRJNA296379,SAMN04096414,3431910048,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261770,GSM1888660,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888660,iPSC,SRP063867,nonisogenic,
SRR2453351,RNA-Seq,202,6214684934,PRJNA296379,SAMN04096415,3874483145,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261771,GSM1888661,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888661,ESC,SRP063867,nonisogenic,
SRR2453352,RNA-Seq,202,3995851890,PRJNA296379,SAMN04096416,2485222629,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261772,GSM1888662,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888662,iPSC,SRP063867,nonisogenic,
SRR2453353,RNA-Seq,202,4704733924,PRJNA296379,SAMN04096417,2933340406,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261773,GSM1888663,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888663,iPSC,SRP063867,nonisogenic,
SRR2453354,RNA-Seq,202,5234942918,PRJNA296379,SAMN04096418,3274149012,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261774,GSM1888664,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888664,ESC,SRP063867,nonisogenic,
SRR2453355,RNA-Seq,202,5006120752,PRJNA296379,SAMN04096419,3110987457,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261775,GSM1888665,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888665,ESC,SRP063867,nonisogenic,
SRR2453356,RNA-Seq,202,4336368946,PRJNA296379,SAMN04096420,2667540967,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261776,GSM1888666,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888666,ESC,SRP063867,nonisogenic,
SRR2453357,RNA-Seq,202,4745147660,PRJNA296379,SAMN04096421,2911973922,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261777,GSM1888667,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888667,iPSC,SRP063867,nonisogenic,
SRR2453358,RNA-Seq,202,3618747180,PRJNA296379,SAMN04096422,2221071729,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261778,GSM1888668,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888668,iPSC,SRP063867,nonisogenic,
SRR2453359,RNA-Seq,202,4647389962,PRJNA296379,SAMN04096423,2863731447,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261779,GSM1888669,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888669,ESC,SRP063867,nonisogenic,
SRR2453360,RNA-Seq,202,4411197624,PRJNA296379,SAMN04096424,2701989223,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261780,GSM1888670,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888670,ESC,SRP063867,nonisogenic,
SRR2453361,RNA-Seq,202,3864313732,PRJNA296379,SAMN04096425,2377603038,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261781,GSM1888671,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888671,ESC,SRP063867,nonisogenic,
SRR2453362,RNA-Seq,202,4815571728,PRJNA296379,SAMN04096426,2951053608,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261782,GSM1888672,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888672,ESC,SRP063867,nonisogenic,
SRR2453363,RNA-Seq,202,3754640256,PRJNA296379,SAMN04096427,2300087788,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261783,GSM1888673,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888673,iPSC,SRP063867,nonisogenic,
SRR2453364,RNA-Seq,202,4803927842,PRJNA296379,SAMN04096428,2961882281,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261784,GSM1888674,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888674,ESC,SRP063867,nonisogenic,
SRR2453365,RNA-Seq,202,4899182154,PRJNA296379,SAMN04096432,3003388961,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261785,GSM1888675,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888675,ESC,SRP063867,nonisogenic,
SRR2453366,RNA-Seq,202,4249065152,PRJNA296379,SAMN04096463,2585215502,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261786,GSM1888676,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888676,ESC,SRP063867,nonisogenic,
SRR2453367,RNA-Seq,202,3902842606,PRJNA296379,SAMN04096464,2360725950,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261787,GSM1888677,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888677,ESC,SRP063867,nonisogenic,
SRR2453368,RNA-Seq,202,3934606096,PRJNA296379,SAMN04096465,2381044723,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261788,GSM1888678,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888678,ESC,SRP063867,nonisogenic,
SRR2453369,RNA-Seq,202,4620693036,PRJNA296379,SAMN04096429,2805773307,iPSC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261789,GSM1888679,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888679,iPSC,SRP063867,nonisogenic,
SRR2453370,RNA-Seq,202,4503136308,PRJNA296379,SAMN04096430,2724631433,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261790,GSM1888680,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888680,ESC,SRP063867,nonisogenic,
SRR2453371,RNA-Seq,202,7320326480,PRJNA296379,SAMN04096431,4508150678,ESC,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1261791,GSM1888681,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-10-26T00:00:00Z,GSM1888681,ESC,SRP063867,nonisogenic,
SRR9908396,Bisulfite-Seq,52,26044968,PRJNA296379,SAMN12497957,9721739,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658469,GSM4007721,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007721,HUES2,SRP063867,,GCA_000001405.13
