Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Developmental_stage,Tissue,treated_with,Development_stage,Cell_type
SRR5837380,ATAC-seq,101,707138774,PRJNA394846,SAMN07361151,312010610,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013883,GSM2706257,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706257,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837381,ATAC-seq,202,1031669146,PRJNA394846,SAMN07361151,470180408,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013883,GSM2706257,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706257,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837382,ATAC-seq,202,1920821838,PRJNA394846,SAMN07361150,871303030,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013884,GSM2706258,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706258,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837383,ATAC-seq,101,557936928,PRJNA394846,SAMN07361150,244350316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013884,GSM2706258,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706258,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837384,ATAC-seq,51,2082108201,PRJNA394846,SAMN07361149,1278722290,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013885,GSM2706259,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706259,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837385,ATAC-seq,51,786842382,PRJNA394846,SAMN07361149,529424007,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013885,GSM2706259,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706259,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR5837386,RNA-Seq,200,2399240800,PRJNA394846,SAMN07361148,1144198153,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013886,GSM2706260,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706260,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837387,RNA-Seq,200,2504022200,PRJNA394846,SAMN07361148,1199776754,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013886,GSM2706260,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706260,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837388,RNA-Seq,200,2840875000,PRJNA394846,SAMN07361147,1344283048,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013887,GSM2706261,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706261,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837389,RNA-Seq,200,2965743600,PRJNA394846,SAMN07361147,1409362043,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013887,GSM2706261,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706261,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837390,RNA-Seq,200,2401577000,PRJNA394846,SAMN07361146,1151426243,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013888,GSM2706262,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706262,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837391,RNA-Seq,200,2489825800,PRJNA394846,SAMN07361146,1200957501,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013888,GSM2706262,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706262,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837392,RNA-Seq,200,494453200,PRJNA394846,SAMN07361145,234876533,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013889,GSM2706263,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706263,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837393,RNA-Seq,200,517552000,PRJNA394846,SAMN07361145,246946047,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013889,GSM2706263,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706263,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837394,RNA-Seq,200,420199600,PRJNA394846,SAMN07361145,210736130,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013889,GSM2706263,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706263,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837395,RNA-Seq,200,434682000,PRJNA394846,SAMN07361145,219217542,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013889,GSM2706263,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706263,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837396,RNA-Seq,200,3401109200,PRJNA394846,SAMN07361144,1621786684,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013890,GSM2706264,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706264,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837397,RNA-Seq,200,3556797800,PRJNA394846,SAMN07361144,1701159664,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013890,GSM2706264,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706264,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837398,RNA-Seq,200,2803290800,PRJNA394846,SAMN07361143,1346757960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013891,GSM2706265,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706265,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837399,RNA-Seq,200,2931374200,PRJNA394846,SAMN07361143,1413821002,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013891,GSM2706265,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706265,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837400,RNA-Seq,200,3033595200,PRJNA394846,SAMN07361142,1445222381,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013892,GSM2706266,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706266,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837401,RNA-Seq,200,3173623000,PRJNA394846,SAMN07361142,1517144971,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013892,GSM2706266,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706266,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837402,RNA-Seq,200,2749289200,PRJNA394846,SAMN07361141,1306257066,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013893,GSM2706267,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706267,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837403,RNA-Seq,200,2866211600,PRJNA394846,SAMN07361141,1368044737,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013893,GSM2706267,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706267,Preimplantation embryo,SRP112718,8-cell,,,,
SRR5837321,ATAC-seq,200,11098380000,PRJNA394846,SAMN07361137,7500863554,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013848,GSM2706222,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706222,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837322,ATAC-seq,200,11264052200,PRJNA394846,SAMN07361137,7608592619,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013848,GSM2706222,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2706222,Preimplantation embryo,SRP112718,2-cell,,,,
SRR5837371,ATAC-seq,300,31520645700,PRJNA394846,SAMN07361156,13085622404,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013878,GSM2706252,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706252,Preimplantation embryo,SRP112718,8-cell,,,,
