Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,molecule_subtype
SRR950999,Bisulfite-Seq,202,2365511304,PRJNA215030,SAMN02316283,1482146853,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula embryo,SRX334159,GSM1207820,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207820,morula,SRP028804,
SRR951000,Bisulfite-Seq,202,2076196198,PRJNA215030,SAMN02316281,1444325694,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula embryo,SRX334134,GSM1207821,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207821,morula,SRP028804,
SRR951001,Bisulfite-Seq,202,1651559878,PRJNA215030,SAMN02316284,1084615951,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",morula embryo,SRX334135,GSM1207822,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207822,morula,SRP028804,
SRR951002,Bisulfite-Seq,202,2776499292,PRJNA215030,SAMN02316285,1919031211,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX334160,GSM1207823,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207823,postimplantation embryo,SRP028804,
SRR951003,Bisulfite-Seq,202,3998332450,PRJNA215030,SAMN02316287,2915144013,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX334161,GSM1207824,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207824,postimplantation embryo,SRP028804,
SRR951004,Bisulfite-Seq,202,4306138434,PRJNA215030,SAMN02316286,2963934116,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX334162,GSM1207825,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207825,postimplantation embryo,SRP028804,
SRR951005,Bisulfite-Seq,202,1790933212,PRJNA215030,SAMN02316291,1182404273,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX334163,GSM1207826,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207826,postimplantation embryo,SRP028804,
SRR951006,Bisulfite-Seq,202,3917677284,PRJNA215030,SAMN02316290,2695543934,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX334164,GSM1207827,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207827,postimplantation embryo,SRP028804,
SRR951007,Bisulfite-Seq,202,1662429902,PRJNA215030,SAMN02316288,1090840142,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",postimplantation embryo,SRX334165,GSM1207828,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207828,postimplantation embryo,SRP028804,
SRR951008,Bisulfite-Seq,202,2049170012,PRJNA215030,SAMN02316289,1410775298,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX334166,GSM1207829,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207829,sperm,SRP028804,
SRR951009,Bisulfite-Seq,202,4223119262,PRJNA215030,SAMN02316292,2906082167,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX334167,GSM1207830,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207830,sperm,SRP028804,
SRR951010,Bisulfite-Seq,202,4701936224,PRJNA215030,SAMN02316302,3255945280,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX334168,GSM1207831,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207831,sperm,SRP028804,
SRR951011,Bisulfite-Seq,202,5933118750,PRJNA215030,SAMN02316294,4065043670,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sperm,SRX334169,GSM1207832,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207832,sperm,SRP028804,
SRR951012,Bisulfite-Seq,202,2336920426,PRJNA215030,SAMN02316295,1611736566,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst embryo,SRX334170,GSM1207833,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207833,trophectoderm cells,SRP028804,
SRR951013,Bisulfite-Seq,202,1555564428,PRJNA215030,SAMN02316293,1020845079,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst embryo,SRX334171,GSM1207834,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207834,trophectoderm cells,SRP028804,
SRR951014,Bisulfite-Seq,202,2044414932,PRJNA215030,SAMN02316297,1418958962,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst embryo,SRX334172,GSM1207835,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207835,trophectoderm cells,SRP028804,
SRR951015,Bisulfite-Seq,202,2153013162,PRJNA215030,SAMN02316296,1500196778,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst embryo,SRX334173,GSM1207836,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207836,trophectoderm cells,SRP028804,
SRR951016,Bisulfite-Seq,202,5095031456,PRJNA215030,SAMN02316298,3500312536,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",late blastocyst embryo,SRX334174,GSM1207837,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207837,trophectoderm cells,SRP028804,
SRR951017,Bisulfite-Seq,202,9269849892,PRJNA215030,SAMN02316299,6274654646,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX334175,GSM1207838,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207838,zygote,SRP028804,
SRR951018,Bisulfite-Seq,202,6055583270,PRJNA215030,SAMN02316300,3713249427,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX334176,GSM1207839,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207839,zygote,SRP028804,
SRR951019,Bisulfite-Seq,202,4025219458,PRJNA215030,SAMN02316301,2604440990,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",the first polar body,SRX334177,GSM1207840,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1207840,polar body,SRP028804,
